,,,,,,,,,,,,,IPC,,,,,,A. lupus cytb  (LOD =  3 copies/reaction),,,,,,,,,,,,G. morhua cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,,H. hippoglossus cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,
625106,PER25-108,1,CURDO_06,CUR,45.893368,59.585101,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.31,APC0287 A_lupus_IPC_qPCR01,27.664,27.586,27.601,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,39.210,39.21,,,,0.649,Inconclusive,Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625107,PER25-109,2,CURDO_06,CUR,45.893368,59.585101,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.35,APC0287 A_lupus_IPC_qPCR01,27.633,27.857,27.726,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,39.479,Undetermined,39.479,,,0.538,,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625108,PER25-110,3,CURDO_06,CUR,45.893368,59.585101,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.13,APC0287 A_lupus_IPC_qPCR01,27.873,27.925,27.769,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,38.721,38.068,38.394,0.462,,0.913,1.439,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625109,PER25-111,1,CURDO_09,CUR,45.894041,59.579145,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.05,APC0287 A_lupus_IPC_qPCR01,27.76,27.893,27.79,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625110,PER25-112,2,CURDO_09,CUR,45.894041,59.579145,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.42,APC0287 A_lupus_IPC_qPCR01,27.666,27.761,27.713,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625111,PER25-113,3,CURDO_09,CUR,45.894041,59.579145,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,0.45,APC0287 A_lupus_IPC_qPCR01,27.58,27.795,27.671,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,could this be the Field blank?,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,MAYBE THIS IS THE BLANK?,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625112,PER25-114,BLANK,,,,,17-Jun-25,SmithRoot,Ethanol,Field Blank,TUBES958,1.87,APC0287 A_lupus_IPC_qPCR01,27.718,27.629,27.733,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.676,38.867,38.078,38.54,0.412,0.942,0.824,1.429,Detected,Detected,May not actually be the field blank?,APC0287 G_morhua qPCR01,34.745,36.709,35.932,35.795,0.989,4.056,1.037,1.779,Detected,Detected,IS THIS THE BLANK?,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625113,PER25-115,1,SCATARIE_NEW_,SCA,45.990859,59.146284,18-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,1.21,APC0287 A_lupus_IPC_qPCR01,27.747,27.779,27.548,27.654,No Inhibition,APC0287 Redo_qPCR01B,Undetermined,38.681,38.768,,,,,,Not Detected,Detected,Redo = inconclusive (2/3),APC0287 G_morhua qPCR01,36.659,36.755,36.724,36.713,0.049,1.074,1.005,1.026,Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625114,PER25-116,2,SCATARIE_NEW_,SCA,45.990859,59.146284,18-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,2.03,APC0287 A_lupus_IPC_qPCR01,27.696,27.684,27.848,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.163,37.962,Undetermined,38.063,0.142,1.347,1.549,,Inconclusive,,Redo = inconclusive (1/3),APC0287 G_morhua qPCR01,36.932,35.49,34.511,35.644,1.218,0.888,2.419,4.771,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625115,PER25-117,3,SCATARIE_NEW_,SCA,45.990859,59.146284,18-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,0.39,APC0287 A_lupus_IPC_qPCR01,27.839,27.853,27.717,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = match,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625116,PER25-118,BLANK,,,,,18-Jun-25,SmithRoot,Ethanol,Field Blank,TUBES958,1.34,APC0287 A_lupus_IPC_qPCR01,27.881,27.757,27.96,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625117,PER25-119,1,DEEP_01,SBK,46.309938,59.013688,19-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,1.64,APC0287 A_lupus_IPC_qPCR01,27.751,27.754,27.825,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625118,PER25-120,2,DEEP_01,SBK,46.309938,59.013688,19-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,1.46,APC0287 A_lupus_IPC_qPCR01,27.734,27.746,27.666,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625119,PER25-121,3,DEEP_01,SBK,46.309938,59.013688,19-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,1.04,APC0287 A_lupus_IPC_qPCR02,27.523,27.569,27.554,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625120,PER25-122,1,DEEP_02,SBK,46.323139,58.963239,19-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,1.05,APC0287 A_lupus_IPC_qPCR02,27.394,27.501,27.592,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625121,PER25-123,2,DEEP_02,SBK,46.323139,58.963239,19-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,1.08,APC0287 A_lupus_IPC_qPCR02,27.521,27.597,27.524,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625122,PER25-124,3,DEEP_02,SBK,46.323139,58.963239,19-Jun-25,SmithRoot,Ethanol,Sample,TUBES958,0.761,APC0287 A_lupus_IPC_qPCR02,27.645,27.527,27.524,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
,952-ENEG-1,,,,,,,,,Extraction Negative,TUBES952,BQL,APC0252 qPCR02 A_lupus,27.727,27.601,27.577,27.341,No Inhibition,APC0252 qPCR02 A_lupus,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,953-ENEG-1,,,,,,,,,Extraction Negative,TUBES953,BQL,APC0287 A_lupus_IPC_qPCR01,27.84,27.593,27.673,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,953-ENEG-2,,,,,,,,,Extraction Negative,TUBES953,BQL,APC0287 A_lupus_IPC_qPCR01,27.709,27.681,27.605,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,954-ENEG-1,,,,,,,,,Extraction Negative,TUBES954,BQL,APC0287 A_lupus_IPC_qPCR01,27.832,27.806,27.769,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,954-ENEG-2,,,,,,,,,Extraction Negative,TUBES954,BQL,APC0287 A_lupus_IPC_qPCR01,27.63,27.558,27.63,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,955-ENEG-1,,,,,,,,,Extraction Negative,TUBES955,BQL,APC0287 A_lupus_IPC_qPCR01,27.681,27.825,27.926,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,955-ENEG-2,,,,,,,,,Extraction Negative,TUBES955,BQL,APC0287 A_lupus_IPC_qPCR01,27.81,27.538,27.691,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,956-ENEG-1,,,,,,,,,Extraction Negative,TUBES956,BQL,APC0287 A_lupus_IPC_qPCR01,27.652,27.808,27.596,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,956-ENEG-2,,,,,,,,,Extraction Negative,TUBES956,BQL,APC0287 A_lupus_IPC_qPCR01,27.607,27.635,27.823,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,957-ENEG-1,,,,,,,,,Extraction Negative,TUBES957,BQL,APC0287 A_lupus_IPC_qPCR01,27.783,27.705,27.856,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,957-ENEG-2,,,,,,,,,Extraction Negative,TUBES957,BQL,APC0287 A_lupus_IPC_qPCR01,27.655,27.613,27.654,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,958-ENEG-1,,,,,,,,,Extraction Negative,TUBES958,BQL,APC0287 A_lupus_IPC_qPCR02,27.453,27.265,27.516,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
,958-ENEG-2,,,,,,,,,Extraction Negative,TUBES958,BQL,APC0287 A_lupus_IPC_qPCR02,27.445,27.462,27.564,27.341,No Inhibition,APC0287 A_lupus_IPC_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR02,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
